state,year,rate,bidding_no
Arkansas,2008,1.42,1
Arkansas,2009,1.70,1
Arkansas,2010,1.41,1
Arkansas,2011,1.41,1
Arkansas,2012,2.67,1
Arkansas,2013,2.54,1
Arkansas,2014,2.69,1
Arkansas,2015,2.13,1
Arkansas,2016,2.98,1
Arkansas,2017,3.83,1
Arkansas,2018,2.70,1
Louisiana,2008,1.17,1
Louisiana,2009,1.62,1
Louisiana,2010,1.52,1
Louisiana,2011,1.70,1
Louisiana,2012,1.70,1
Louisiana,2013,2.07,1
Louisiana,2014,2.16,1
Louisiana,2015,2.42,1
Louisiana,2016,1.89,1
Louisiana,2017,2.17,1
Louisiana,2018,2.46,1
Missouri,2008,1.68,1
Missouri,2009,1.82,1
Missouri,2010,1.47,1
Missouri,2011,1.77,1
Missouri,2012,1.50,1
Missouri,2013,2.07,1
Missouri,2014,2.73,1
Missouri,2015,2.30,1
Missouri,2016,2.74,1
Missouri,2017,3.33,1
Missouri,2018,4.65,1
Oklahoma,2008,1.98,1
Oklahoma,2009,2.06,1
Oklahoma,2010,2.15,1
Oklahoma,2011,1.82,1
Oklahoma,2012,3.41,1
Oklahoma,2013,2.85,1
Oklahoma,2014,3.04,1
Oklahoma,2015,3.02,1
Oklahoma,2016,2.91,1
Oklahoma,2017,2.81,1
Oklahoma,2018,3.24,1
Tennessee,2008,1.61,1
Tennessee,2009,1.40,1
Tennessee,2010,1.47,1
Tennessee,2011,0.94,1
Tennessee,2012,1.41,1
Tennessee,2013,1.54,1
Tennessee,2014,1.81,1
Tennessee,2015,2.20,1
Tennessee,2016,2.73,1
Tennessee,2017,3.12,1
Tennessee,2018,2.59,1
Texas,2008,1.14,1
Texas,2009,1.43,1
Texas,2010,1.06,1
Texas,2011,1.54,1
Texas,2012,1.35,1
Texas,2013,1.66,1
Texas,2014,1.78,1
Texas,2015,1.55,1
Texas,2016,2.04,1
Texas,2017,2.65,1
Texas,2018,2.55,1
